제어번호,제목,저자,발행처,발행년도,
455,(몸으로 읽는) 세계사 :사소한 몸에 숨겨진 독특하고 거대한 문명의 역사,캐스린 페트라스,다산초당: 다산북스,2023,
456,(미국인 사용빈도 다반사) 영어회화 구동사 :phrasal verbs,김아영,사람in,2023,
457,"(박시백의) 조선왕조실록 .2 ,태조?정종실록 =The Annals of the Joseon dynasty",박시백 글.그림,휴머니스트,2015,
458,"(박시백의) 조선왕조실록 :대하역사만화 .01 ,개국 : 새로운 세상을 꿈꾸다",박시백 글.그림,휴머니스트,2012,
459,"(배틀) 급식왕 :오싹 소름 과학 만화 .2 ,위험한 몬스터의 숲",급식왕 원작,Sandbox Story Kids(샌드박스스토리 키즈) : 샌드박스네트워크,2022,
460,(부와 행복을 끌어당기는) 말의 알고리즘 =Algorithm of words,고은미,한밤의책: 스몰빅미디어,2022,
461,"(비전공자를 위한 이해할 수 있는) IT 지식 :API, 클라, 서버, 프레임워크...도대체 뭐라는 거야?",최원영 지음,티더블유아이지(T.W.I.G),2020,
462,(빅터 프랭클의) 죽음의 수용소에서 :죽음조차 희망으로 승화시킨 인간 존엄성의 승리,빅터 프랭클 지음,청아출판사,2017,
463,(상상초월) 포켓몬 과학 연구소 .3,야나기타 리카오 글,북이십일: 아울북,2018,
464,(생활코딩!) 아마존 웹 서비스 :핵심 서비스만 쏙쏙 배우는 AWS 10일 완성,이고잉 지음,위키북스,2022,
465,"(설민석의) 한국사 대모험 .11 ,고구려 편 - 부마 온달, 태학에 들어가다!",설민석,아이휴먼: 휴먼큐브,2019,
466,"(설민석의) 한국사 대모험 .16 ,독도 편 : 사라진 천사옥대를 찾아라!",설민석,아이휴먼×Dankkumi : 휴먼큐브,2021,
467,(성공창업을 위한) 카페창업론 =Cafe start-up guide,김영갑,교문사,2021,
468,(세상에서 가장 쉬운) 하고 싶은 일 찾는 법 :인생의 막막함에서 해방되는 자기이해 방식 =The world's easiest way to find what you want to do,야기 짐페이 지음,소미미디어,2022,
469,(소리튠) 영어 혁명 :30년 영알못도 귀가 뚫리고 입이 트이는,갓주아 지음,미다스북스,2022,
470,(쉽게 시작하는) 쿠버네티스 :시작 단계에서 가장 필요한 핵심만 담았다! =Getting started Kubernetes,서지영 지음,길벗,2023,
471,(신비아파트 고스트볼X의 탄생) 암흑의 고사성어,김현수 글,위즈덤하우스 : 위즈덤하우스 미디어그룹,2019,
472,(신비아파트) 공포이상기후탈출 :이상 기후 과학 상식,유경원 글,서울문화사,2019,
473,"(실무에 바로 쓰는) Go 언어 핸즈온 가이드 :실용적 Go 언어 비법서: Go 언어의 개념, 기능, 패턴부터 커맨드 라인, HTTP, gRPC 애플리케이션 개발까지",아미트 사하 지음,제이펍,2022,
474,(십 대가 알아야 할) 인공지능과 4차 산업혁명의 미래 :처음 만나는 디지털인문학,전승민 지음,팜파스,2018,
475,(아이 스스로 원서를 읽고 사고력을 키워가는) 누리보듬 엄마표영어 톺아보기,한진희 지음,서사원,2023,
476,"(안 아프게 백년을 사는) 생체리듬의 비밀 :노벨의학상이 밝힌 식사, 수면, 휴식의 규칙",막시밀리안 모저 지음,추수밭 : 청림출판,2019,
477,(앤서니 브라운의) 마술 연필,앤서니 브라운,웅진주니어,2010,
478,"(양육, 학습, 입시를 꿰뚫는) 자녀교육 절대공식",방종임 지음,위즈덤하우스,2023,
479,(업무에 바로 활용하는) SSS급 일잘러를 위한 파이썬과 40개의 작품들 :파이썬을 '내' 업무처리 도구로 활용하여 칼퇴하자!,장문철 저,앤써북,2022,
480,"(엽기 과학자) 프래니 .1 ,도시락 괴물이 나타났다",짐 벤튼 글?그림,이퍼블릭,2005,
481,"(엽기 과학자) 프래니 .2 ,거인 큐피드의 공격",짐 벤튼 글?그림,사파리 : 이퍼블릭,2019,
482,"(엽기 과학자) 프래니 .3 ,투명 인간이 된 프래니",짐 벤튼 글?그림,사파리 : 이퍼블릭,2019,
483,(오은영의) 화해 :상처받은 내면의 '나'와 마주하는 용기,오은영 지음,코리아닷컴(KOREA.COM): 대성,2019,
484,(우당탕탕 야옹이와) 금빛 마법사 :구도 노리코 동화,구도 노리코 [지음],책읽는곰,2022,
485,(웹 개발자를 위한) 자바스크립트의 모든 것 :ES2015-ES2020과 그 이후의 모든 것,T.J. 크라우더 지음,길벗,2022,
486,(이상한 과자 가게) 전천당 .16,히로시마 레이코 글,길벗스쿨,2022,
487,(이상한 과자 가게) 전천당 :공식 가이드북,히로시마 레이코 글,길벗스쿨,2022,
488,(일러스트) 연금술사 :파울로 코엘료 장편소설,파울로 코엘료 지음,문학동네,2011,
489,(읽으면서 바로 써먹는) 어린이 관용구,한날 글?그림,파란정원: 책먹는아이,2018,
490,(읽으면서 바로 써먹는) 어린이 맞춤법,한날 글?그림,파란정원: 책먹는아이,2019,
491,(읽으면서 바로 써먹는) 어린이 명심보감,한날 글?그림,파란정원,2020,
492,"(읽으면서 바로 써먹는) 어린이 수수께끼 .[2] ,공포 특급",한날 글?그림,파란정원: 책먹는아이,2022,
493,"(정재승의) 인간 탐구 보고서 .10 ,공감은 마음을 연결하는 통로",정재은,아울북: 북이십일,2022,
494,(줄리언 반스의) 아주 사적인 미술 산책,줄리언 반스 지음,다산책방 : 다산북스,2019,
495,(집에서 배우는) 가상화의 기본 개념,Takaoka Susumu,정보문화사,2015,
496,"(채사장의) 지대넓얕 :지적 대화를 위한 넓고 얕은 지식 .02 ,자본이라는 신",채사장,Dolphin Books(돌핀북),2022,
497,"(채사장의) 지대넓얕 :지적 대화를 위한 넓고 얕은 지식 .04 ,보이지 않는 손",채사장,Dolphin Books(돌핀북),2022,
498,"(카카오프렌즈) 과학 탐정단 :미스터리 과학 학습만화 .1 ,로봇",김승현 글,대원키즈 : 대원씨아이,2019,
499,(파이썬으로 구현하는) AI 이해와 활용,박상배,일진사,2022,
500,"(파이썬을 이용한) 퀀트 투자 포트폴리오 만들기 :파이썬 기초, 데이터 크롤링 및 분석, 퀀트 전략을 활용한 투자 종목 선정까지!",이현열 지음,제이펍,2023,
